state_encoded,demographic_encoded,turnout_2016,turnout_2021,turnout_change_21,margin_2016,swing_2016,result_2016_encoded
3,0,53.94,61.06,7.1200000000000045,-1.4659,4.4977,1
3,0,63.7,55.83,-7.8700000000000045,1.7945,-6.9225,6
0,2,73.87,72.94,-0.9300000000000068,-2.7342,-3.9274,0
0,0,67.35,63.63,-3.7199999999999918,19.0071,-6.544,4
0,2,81.88,79.73,-2.1499999999999915,5.8562,-5.9932,3
4,2,73.91,74.26,0.3500000000000085,-5.2061,0.6268,5
1,1,83.31,82.26,-1.0499999999999972,15.8856,12.8976,10
0,1,67.1,67.56,0.46000000000000796,-0.9315,-14.4248,7
2,1,68.0,70.1,2.0999999999999943,18.2781,6.0837,7
0,0,60.02,71.35,11.329999999999991,13.7061,-15.5807,7
2,0,47.86,55.99,8.130000000000003,-1.0427,-21.7488,2
1,1,62.95,69.42,6.469999999999999,15.1881,-9.3702,10
2,0,69.04,72.58,3.539999999999992,3.8783,6.3103,4
2,2,80.9,78.52,-2.3800000000000097,10.4469,-0.0481,2
1,1,83.79,82.53,-1.2600000000000051,17.357,13.7478,10
2,2,80.07,78.05,-2.019999999999996,4.4734,14.9737,2
2,2,78.0,73.37,-4.6299999999999955,24.5144,-3.2348,6
4,2,82.02,89.37,7.3500000000000085,10.2747,3.6729,4
3,2,62.21,69.82,7.609999999999992,-21.3307,-17.3287,6
2,2,71.17,75.74,4.569999999999993,-12.8971,-5.107,4
4,2,74.17,68.76,-5.409999999999997,39.2159,9.8867,7
1,0,63.59,62.42,-1.1700000000000017,-1.555,-4.1999,8
3,2,80.57,76.95,-3.6199999999999903,9.12,16.0323,1
3,2,76.65,77.6,0.9499999999999886,26.192,10.6069,6
1,0,62.36,62.15,-0.21000000000000085,6.3218,-2.8209,10
1,2,72.18,78.13,5.949999999999989,21.8963,-14.7633,8
0,0,65.86,63.67,-2.1899999999999977,3.8596,4.0347,3
0,1,78.71,72.61,-6.099999999999994,21.4814,2.6385,7
3,0,67.91,65.31,-2.5999999999999943,33.1254,-0.6267,1
3,1,74.59,74.54,-0.04999999999999716,14.3965,3.2208,1
3,2,75.4,72.6,-2.8000000000000114,-2.3271,1.7368,1
2,0,67.72,66.19,-1.5300000000000011,13.5133,-2.9081,4
1,2,60.31,54.89,-5.420000000000002,-15.4417,-17.9389,7
2,2,69.66,68.87,-0.789999999999992,-10.267,-9.5014,2
0,2,95.0,95.0,0.0,36.2871,0.0,0
3,0,69.16,61.69,-7.469999999999999,20.956,23.1466,1
3,0,74.88,70.74,-4.140000000000001,34.5223,17.6986,7
0,2,71.89,70.2,-1.6899999999999977,0.595,6.5965,7
1,2,74.14,68.22,-5.920000000000002,13.6622,-0.7908,4
4,0,62.13,60.62,-1.5100000000000051,2.5026,-3.5481,9
1,1,68.92,73.4,4.480000000000004,0.3083,-20.2672,7
3,0,58.27,64.27,5.999999999999993,-12.8437,-14.2181,1
0,2,95.0,89.08,-5.920000000000002,27.0866,18.104,7
4,1,64.78,73.05,8.269999999999996,17.2379,3.5335,5
1,0,62.95,68.91,5.959999999999994,5.2094,-2.232,7
2,2,75.74,74.62,-1.1199999999999903,5.6485,2.8356,7
3,2,86.49,80.38,-6.109999999999999,21.7643,-4.5968,4
1,0,73.87,76.92,3.049999999999997,21.1454,9.8749,10
1,2,76.06,81.05,4.989999999999995,7.8841,5.0938,4
4,2,88.74,91.88,3.1400000000000006,14.9544,21.0944,4
2,2,87.33,88.52,1.1899999999999977,26.5362,5.5253,7
3,2,75.38,79.99,4.609999999999999,-12.9712,2.8088,1
4,0,59.8,64.69,4.890000000000001,-3.1573,-6.8525,9
3,2,71.33,76.53,5.200000000000003,-9.0129,-12.272,4
0,0,56.36,54.43,-1.9299999999999997,-12.2646,-4.1139,0
3,2,74.3,81.11,6.810000000000002,-1.5203,4.918,4
3,0,64.78,64.96,0.1799999999999926,10.0629,8.2145,7
1,2,76.83,73.39,-3.4399999999999977,-2.8629,5.7239,7
3,1,68.28,63.38,-4.899999999999999,-0.0788,-7.7114,1
2,1,72.58,66.25,-6.329999999999998,2.6158,-10.0909,4
4,1,62.58,64.42,1.8400000000000034,-1.0378,-17.0825,7
3,0,66.73,78.2,11.469999999999999,8.4183,0.125,1
2,0,61.8,65.6,3.799999999999997,20.9995,0.6363,6
4,0,67.44,64.85,-2.5900000000000034,14.048,-1.6859,5
2,2,79.74,79.67,-0.06999999999999318,7.6312,7.9317,6
0,2,76.34,68.83,-7.510000000000005,-2.8743,-6.8087,3
0,2,82.51,80.57,-1.940000000000012,14.7108,9.1086,3
3,1,79.84,81.97,2.1299999999999955,12.1901,21.8806,6
1,0,67.23,61.18,-6.050000000000004,16.0564,-4.663,4
2,1,66.16,68.14,1.980000000000004,6.8897,10.394,6
1,0,67.99,62.54,-5.449999999999996,-1.0057,-2.6464,10
1,1,80.65,77.91,-2.740000000000009,14.2577,12.2317,8
3,0,56.55,57.2,0.6500000000000057,5.9752,-4.0913,6
4,0,44.96,48.08,3.1199999999999974,-9.8466,-16.0638,5
3,0,56.01,55.58,-0.4299999999999997,2.9369,-8.3188,1
2,2,75.6,78.89,3.2900000000000063,-6.3908,-26.1975,6
2,0,46.57,48.14,1.5700000000000003,-15.4574,-5.4624,7
1,0,55.21,53.82,-1.3900000000000006,8.1364,14.3509,4
2,0,61.31,65.44,4.1299999999999955,8.5389,5.4348,7
2,0,56.77,59.79,3.019999999999996,12.46,-6.6752,4
3,2,69.41,65.25,-4.159999999999997,-11.7962,-4.5479,4
2,2,89.88,88.86,-1.019999999999996,8.8701,-5.5318,4
3,0,69.76,80.11,10.349999999999994,26.8117,11.8739,1
4,0,74.8,69.64,-5.159999999999997,31.8186,21.8749,5
1,2,92.87,95.0,2.1299999999999955,19.3103,3.2865,4
2,0,70.73,74.16,3.4299999999999926,27.1443,13.0728,7
2,0,58.11,59.52,1.4100000000000037,5.784,-16.2293,2
1,2,73.13,73.37,0.2400000000000091,-5.5505,-14.0092,4
1,1,75.46,73.04,-2.4199999999999875,3.3183,-1.0955,10
4,2,81.54,79.01,-2.530000000000001,7.355,-3.0251,7
3,2,76.15,70.9,-5.25,1.449,3.8243,7
4,0,63.65,67.75,4.100000000000001,-1.7555,1.9441,5
3,2,91.43,86.96,-4.470000000000013,38.7366,11.941,6
0,2,87.64,94.79,7.150000000000006,16.5707,-0.5905,4
0,1,72.0,73.44,1.4399999999999977,13.4709,-11.0302,4
2,0,65.56,72.5,6.939999999999998,1.6705,12.1261,4
0,1,55.02,57.09,2.0700000000000003,3.8145,5.8238,3
1,1,65.13,64.74,-0.39000000000000057,18.5577,-10.281,8
1,0,57.89,61.79,3.8999999999999986,4.3733,3.3126,4
4,2,62.75,63.77,1.0200000000000031,-1.9231,-20.9516,9
3,2,76.05,71.99,-4.060000000000002,-0.8388,-9.9336,1
3,2,66.91,69.93,3.0200000000000102,-11.9927,3.0231,6
4,1,74.22,69.44,-4.780000000000001,8.7526,-0.7744,9
3,2,71.19,69.8,-1.3900000000000006,15.0116,-6.4905,6
1,0,55.11,53.01,-2.1000000000000014,15.318,-26.0435,4
2,1,71.97,71.48,-0.4899999999999949,0.7505,4.6645,6
3,2,78.45,80.61,2.1599999999999966,5.4017,-5.3596,1
2,2,75.39,73.73,-1.6599999999999966,10.8854,2.632,4
2,0,74.22,76.14,1.9200000000000017,12.5565,12.1793,7
0,2,65.49,65.85,0.35999999999999943,6.4815,-14.1229,0
4,0,61.52,65.45,3.9299999999999997,2.6551,-9.7215,9
2,0,56.35,53.8,-2.5500000000000043,-2.0492,-1.5103,7
2,0,69.09,61.44,-7.650000000000006,8.2293,16.7867,4
3,2,90.45,90.13,-0.3200000000000074,26.3217,15.2875,1
