constituency_id,state,demographic,result,voter_turnout_pct,margin_of_victory_pct,swing_factor_pct,election_year
AS-AC0001,Assam,Semi-Urban,AGP,79.46,9.0728,-2.3414,2021
PU-AC0002,Puducherry,Rural,DMK,69.01,-7.5971,-9.2408,2021
KE-AC0003,Kerala,Rural,LDF,78.13,32.6026,14.8698,2021
KE-AC0004,Kerala,Semi-Urban,INC,73.4,8.3682,11.1942,2021
AS-AC0005,Assam,Rural,AGP,74.11,-6.4949,-12.2084,2021
PU-AC0006,Puducherry,Semi-Urban,AINRC,66.25,-8.7839,-15.8329,2021
WE-AC0007,West Bengal,Rural,TMC,80.76,22.9963,8.8775,2021
KE-AC0008,Kerala,Urban,BJP,61.79,11.3972,9.7555,2021
PU-AC0009,Puducherry,Rural,INC,80.91,5.1101,-0.758,2021
PU-AC0010,Puducherry,Rural,DMK,78.89,-0.4731,8.219,2021
WE-AC0011,West Bengal,Rural,TMC,76.48,-2.2054,-14.9505,2021
KE-AC0012,Kerala,Rural,INC,81.35,5.6634,-3.1617,2021
AS-AC0013,Assam,Rural,BJP,76.53,16.8298,-8.616,2021
WE-AC0014,West Bengal,Rural,CPIM,80.16,18.5475,29.4366,2021
KE-AC0015,Kerala,Rural,UDF,90.86,29.8314,-0.7445,2021
TA-AC0016,Tamil Nadu,Rural,DMK,76.7,8.163,-14.2648,2021
AS-AC0017,Assam,Rural,AGP,91.39,4.2844,-6.8919,2021
PU-AC0018,Puducherry,Rural,BJP,85.47,5.8951,-5.663,2021
AS-AC0019,Assam,Rural,AIUDF,76.29,-4.2303,-12.2287,2021
TA-AC0020,Tamil Nadu,Semi-Urban,BJP,76.39,7.8956,-14.4348,2021
AS-AC0021,Assam,Urban,AIUDF,65.83,24.9236,5.016,2021
WE-AC0022,West Bengal,Urban,CPIM,71.09,27.5085,10.6529,2021
KE-AC0023,Kerala,Semi-Urban,LDF,76.95,26.5599,11.6863,2021
PU-AC0024,Puducherry,Rural,INC,72.09,-10.4094,-0.1571,2021
AS-AC0025,Assam,Rural,AIUDF,82.3,3.0155,-18.8653,2021
PU-AC0026,Puducherry,Rural,INC,82.61,15.8119,-13.4352,2021
PU-AC0027,Puducherry,Urban,INC,76.51,4.6875,1.906,2021
PU-AC0028,Puducherry,Semi-Urban,DMK,64.63,-1.2904,-15.1485,2021
TA-AC0029,Tamil Nadu,Rural,AIADMK,79.49,6.1535,1.5373,2021
TA-AC0030,Tamil Nadu,Urban,AIADMK,61.06,11.3424,17.7892,2021
WE-AC0031,West Bengal,Rural,CPIM,72.65,-1.1571,-6.8718,2021
TA-AC0032,Tamil Nadu,Urban,AIADMK,61.69,7.5117,-18.6727,2021
WE-AC0033,West Bengal,Urban,CPIM,59.94,13.3006,-10.7774,2021
