constituency_id,state,demographic,result_2011,turnout_2011,margin_2011,swing_2011,result_2016,turnout_2016,margin_2016,swing_2016,result_2021,turnout_2021,margin_2021,swing_2021,turnout_change_16,turnout_change_21,margin_change_16,margin_change_21,seat_flip_16,seat_flip_21,retained_2021,demographic_encoded,state_encoded,result_2016_encoded
AS-AC0001,Assam,Semi-Urban,AGP,81.33,12.4445,15.2303,AGP,80.39,10.7586,-2.3415,AGP,79.46,9.0728,-2.3414,-0.9399999999999977,-0.9300000000000068,-1.6859000000000002,-1.6857999999999986,0,0,1,1,0,0
PU-AC0002,Puducherry,Rural,INC,74.99,3.1702,-5.2517,INC,72.71,-0.9437,-5.7138,DMK,69.01,-7.5971,-9.2408,-2.280000000000001,-3.6999999999999886,-4.1139,-6.6534,0,1,0,2,2,7
KE-AC0003,Kerala,Rural,LDF,78.09,32.5259,-1.6387,LDF,72.18,21.8963,-14.7633,LDF,78.13,32.6026,14.8698,-5.909999999999997,5.949999999999989,-10.6296,10.706300000000002,0,0,1,2,1,8
KE-AC0004,Kerala,Semi-Urban,UDF,77.03,14.9007,19.1277,INC,68.92,0.3083,-20.2672,INC,73.4,8.3682,11.1942,-8.11,4.480000000000004,-14.592400000000001,8.059899999999999,1,0,1,1,1,7
AS-AC0005,Assam,Rural,INC,75.7,-3.6271,-10.5771,INC,78.99,2.2952,8.2254,AGP,74.11,-6.4949,-12.2084,3.289999999999992,-4.8799999999999955,5.9223,-8.7901,0,1,0,2,0,7
PU-AC0006,Puducherry,Semi-Urban,INC,76.62,9.8812,8.8176,BJP,72.58,2.6158,-10.0909,AINRC,66.25,-8.7839,-15.8329,-4.040000000000006,-6.329999999999998,-7.2654,-11.3997,1,1,0,1,2,4
WE-AC0007,West Bengal,Rural,TMC,74.88,12.4132,1.3443,TMC,77.21,16.6045,5.8212,TMC,80.76,22.9963,8.8775,2.3299999999999983,3.5500000000000114,4.191300000000002,6.3918,0,0,1,2,4,9
KE-AC0008,Kerala,Urban,BJP,56.57,1.9882,-3.0921,BJP,57.89,4.3733,3.3126,BJP,61.79,11.3972,9.7555,1.3200000000000003,3.8999999999999986,2.3851000000000004,7.023899999999999,0,0,1,0,1,4
PU-AC0009,Puducherry,Rural,INC,85.36,13.1283,2.9656,INC,81.21,5.6559,-10.3783,INC,80.91,5.1101,-0.758,-4.150000000000006,-0.29999999999999716,-7.4723999999999995,-0.5457999999999998,0,0,1,2,2,7
PU-AC0010,Puducherry,Rural,INC,86.08,12.4714,15.6464,DMK,75.6,-6.3908,-26.1975,DMK,78.89,-0.4731,8.219,-10.480000000000004,3.2900000000000063,-18.862199999999998,5.9177,1,0,0,2,2,6
WE-AC0011,West Bengal,Rural,CPIM,84.59,12.4068,0.19,CPIM,82.46,8.559,-5.3442,TMC,76.48,-2.2054,-14.9505,-2.1300000000000097,-5.97999999999999,-3.847800000000001,-10.764399999999998,0,1,0,2,4,5
KE-AC0012,Kerala,Rural,INC,85.05,12.3341,8.9663,INC,82.61,7.9398,-6.1032,INC,81.35,5.6634,-3.1617,-2.4399999999999977,-1.2600000000000051,-4.394299999999999,-2.2763999999999998,0,0,1,2,1,7
AS-AC0013,Assam,Rural,BJP,81.28,25.3922,7.5079,BJP,79.97,23.0333,-3.2763,BJP,76.53,16.8298,-8.616,-1.3100000000000023,-3.4399999999999977,-2.3588999999999984,-6.203500000000002,0,0,1,2,0,4
WE-AC0014,West Bengal,Rural,BJP,73.62,6.7847,-5.0664,CPIM,68.38,-2.6469,-13.0995,CPIM,80.16,18.5475,29.4366,-5.240000000000009,11.780000000000001,-9.4316,21.194399999999998,1,0,1,2,4,5
KE-AC0015,Kerala,Rural,UDF,90.13,28.513,1.7458,UDF,91.16,30.3674,2.5755,UDF,90.86,29.8314,-0.7445,1.0300000000000011,-0.29999999999999716,1.8543999999999983,-0.5360000000000014,0,0,1,2,1,10
TA-AC0016,Tamil Nadu,Rural,DMK,77.45,9.5271,-0.8417,DMK,82.4,18.4336,12.3702,DMK,76.7,8.163,-14.2648,4.950000000000003,-5.700000000000003,8.906499999999998,-10.270599999999998,0,0,1,2,3,6
AS-AC0017,Assam,Rural,INC,95.0,10.7897,10.5159,INC,94.14,9.2466,-2.1432,AGP,91.39,4.2844,-6.8919,-0.8599999999999994,-2.75,-1.543099999999999,-4.962200000000001,0,1,0,2,0,7
PU-AC0018,Puducherry,Rural,BJP,91.7,17.1043,21.9046,BJP,87.73,9.9724,-9.9054,BJP,85.47,5.8951,-5.663,-3.969999999999999,-2.260000000000005,-7.131899999999998,-4.0773,0,0,1,2,2,4
AS-AC0019,Assam,Rural,AGP,78.58,-0.099,-3.6554,AGP,81.18,4.5744,6.4909,AIUDF,76.29,-4.2303,-12.2287,2.6000000000000085,-4.890000000000001,4.6734,-8.8047,0,1,0,2,0,0
TA-AC0020,Tamil Nadu,Semi-Urban,BJP,81.34,16.808,8.7332,BJP,82.16,18.2887,2.0565,BJP,76.39,7.8956,-14.4348,0.8199999999999932,-5.769999999999996,1.4806999999999988,-10.393099999999999,0,0,1,1,3,4
AS-AC0021,Assam,Urban,AIUDF,63.58,20.8598,3.7777,AIUDF,63.83,21.3121,0.6282,AIUDF,65.83,24.9236,5.016,0.25,2.0,0.45230000000000103,3.6114999999999995,0,0,1,0,0,3
