constituency_id,state_encoded,demographic_encoded,turnout_2016,turnout_2021,turnout_change_21,margin_2016,swing_2016,result_2016_encoded,baseline_pred_margin,scenario_pred_margin,baseline_pred_retained,scenario_pred_retained,baseline_pred_winner,scenario_pred_winner,winner_changed,baseline_pred_retained_label,scenario_pred_retained_label
KE-AC0522,1,0,63.09,65.96,2.8699999999999903,9.7118,-3.7734,4,15.425846296357573,23.88457022345369,1,1,BJP,BJP,False,Retained,Retained
WE-AC0738,4,2,82.78,86.68,3.9000000000000057,10.4857,7.946,4,17.58468405430577,24.68602929284474,1,1,BJP,BJP,False,Retained,Retained
AS-AC0741,0,2,76.9,80.12,3.219999999999999,5.5683,0.0574,7,10.895576412122047,18.21419774956632,1,1,INC,INC,False,Retained,Retained
AS-AC0661,0,2,83.24,89.12,5.88000000000001,24.2315,18.3724,0,36.22206523108089,39.528769380808,1,1,AGP,AGP,False,Retained,Retained
TA-AC0412,3,0,67.95,73.41,5.459999999999994,5.4525,4.2962,6,14.884142314559618,21.392253710984516,1,1,DMK,DMK,False,Retained,Retained
AS-AC0679,0,2,74.48,77.16,2.6799999999999926,7.0583,-12.7,0,11.865445464693096,18.263169578855855,1,1,AGP,AGP,False,Retained,Retained
TA-AC0627,3,0,65.21,66.6,1.3900000000000006,10.79,-8.7928,4,13.446658656616686,21.641953815465275,1,1,BJP,BJP,False,Retained,Retained
PU-AC0514,2,2,71.22,71.59,0.3700000000000045,-5.6172,-14.8915,7,-5.855531187816894,2.352289273132207,0,0,INC,INC,False,Lost,Lost
AS-AC0860,0,0,54.36,54.72,0.3599999999999994,1.5783,-5.2789,3,1.7874030623677042,11.401282517864741,0,1,AIUDF,AIUDF,False,Lost,Retained
AS-AC0137,0,2,73.84,76.37,2.530000000000001,0.0573,-1.1459,4,5.2994799819093075,14.085302644905996,0,1,BJP,BJP,False,Lost,Retained
TA-AC0812,3,2,85.43,77.92,-7.510000000000005,7.3431,-0.8452,4,-4.92779047773605,2.497437121465916,0,0,BJP,BJP,False,Lost,Lost
WE-AC0077,4,2,80.01,81.99,1.9799999999999895,44.2732,-4.3079,5,44.02988182738095,47.789306101010055,1,1,CPIM,CPIM,False,Retained,Retained
TA-AC0637,3,0,79.14,83.05,3.9099999999999966,29.4312,7.0719,7,36.619654677986375,42.67639878436291,1,1,INC,INC,False,Retained,Retained
PU-AC0974,2,2,82.21,84.71,2.5,36.1569,-0.2047,6,43.13709259803159,45.30258434227997,1,1,DMK,DMK,False,Retained,Retained
KE-AC0939,1,0,60.46,54.29,-6.170000000000002,6.6445,-2.6995,10,-4.518009372286702,4.195040614160928,0,0,LDF,UDF,True,Lost,Lost
TA-AC0900,3,2,75.66,79.26,3.6000000000000085,3.9965,10.3383,6,10.448969007980253,19.811267616122873,1,1,DMK,DMK,False,Retained,Retained
TA-AC0281,3,2,95.0,90.37,-4.629999999999996,24.0187,0.0,4,16.477916048127337,24.511636674332706,1,1,BJP,BJP,False,Retained,Retained
WE-AC0884,4,0,49.62,46.02,-3.5999999999999943,2.0214,7.8649,9,-4.12656438080762,4.399514410251622,0,0,TMC,TMC,False,Lost,Lost
AS-AC0762,0,2,71.33,72.63,1.2999999999999972,11.3169,-12.1202,3,13.869082303900443,21.963611035855795,1,1,AIUDF,AIUDF,False,Retained,Retained
PU-AC0320,2,0,62.72,63.79,1.0700000000000005,-1.1606,-4.7004,6,0.9644962788361047,9.947837514546274,0,1,DMK,DMK,False,Lost,Retained
AS-AC0550,0,0,61.61,59.3,-2.3100000000000023,12.491,1.4281,7,8.217843683512859,17.294622531361654,1,1,INC,INC,False,Retained,Retained
TA-AC0175,3,0,65.95,71.99,6.039999999999992,3.8154,3.1674,7,14.423913009573928,21.64912631358191,1,1,INC,INC,False,Retained,Retained
WE-AC0372,4,1,75.41,66.42,-8.989999999999995,35.0791,8.4843,5,24.432760050718716,26.68003891628982,1,1,CPIM,CPIM,False,Retained,Retained
PU-AC0528,2,1,60.38,61.26,0.8799999999999955,-11.7949,4.5027,4,-9.263361099912967,-2.66370351574259,0,0,BJP,BJP,False,Lost,Lost
AS-AC0211,0,1,68.16,71.06,2.9000000000000057,0.0693,4.9444,0,6.159647061455495,14.460062342921816,1,1,AGP,AGP,False,Retained,Retained
KE-AC0236,1,2,78.49,75.82,-2.6700000000000017,4.1571,9.1923,4,-0.23755127611776342,9.350517490910438,0,1,BJP,BJP,False,Lost,Retained
PU-AC0102,2,1,83.58,86.57,2.989999999999995,12.8099,2.2726,6,18.86204981767166,25.80946167686312,1,1,DMK,DMK,False,Retained,Retained
AS-AC0987,0,2,80.18,75.34,-4.840000000000003,11.2883,-2.3041,3,3.085734136947614,11.317442967928164,1,1,AIUDF,AIUDF,False,Retained,Retained
PU-AC0903,2,0,48.65,57.69,9.04,-5.0219,-11.5445,4,6.606365793269244,7.558463962316864,0,0,BJP,BJP,False,Lost,Lost
PU-AC0948,2,2,73.39,71.02,-2.3700000000000045,-9.3602,-15.7963,7,-12.452618018188765,-4.696489844735364,0,0,INC,INC,False,Lost,Lost
TA-AC0347,3,0,64.74,70.89,6.150000000000006,1.63,8.1878,7,11.836159435281852,19.735250321617386,1,1,INC,INC,False,Retained,Retained
KE-AC0140,1,1,81.32,84.15,2.8300000000000125,24.7231,1.9652,8,30.53160355731862,37.48128928306419,1,1,LDF,LDF,False,Retained,Retained
PU-AC0622,2,1,60.61,54.11,-6.5,41.5592,-4.703,6,31.057738020105813,36.93694797236464,1,1,DMK,DMK,False,Retained,Retained
WE-AC0500,4,2,78.92,83.46,4.539999999999992,2.0545,-9.1592,9,9.849740990429057,18.54981441387501,1,1,TMC,TMC,False,Retained,Retained
KE-AC0371,1,0,61.42,61.6,0.1799999999999997,1.7135,13.3176,4,2.002973903800731,11.676308297584388,0,1,BJP,BJP,False,Lost,Retained
TA-AC0199,3,0,66.63,68.77,2.140000000000001,20.4638,10.9155,6,24.164989966539892,32.177916353505736,1,1,DMK,DMK,False,Retained,Retained
TA-AC0688,3,0,60.84,63.07,2.229999999999997,16.2562,15.7341,1,20.620670144085548,30.21226516129842,1,1,AIADMK,AIADMK,False,Retained,Retained
WE-AC0585,4,2,85.85,83.35,-2.5,8.3363,-1.6156,5,3.807481249027275,12.731133964426451,0,1,CPIM,BJP,True,Lost,Retained
PU-AC0902,2,2,73.66,71.17,-2.489999999999995,14.3411,9.4545,4,9.66943475571131,19.199419117693182,1,1,BJP,BJP,False,Retained,Retained
WE-AC0060,4,1,55.7,55.48,-0.2200000000000059,9.732,-1.0863,9,9.3815536772651,17.922015642395504,1,1,TMC,TMC,False,Retained,Retained
AS-AC0329,0,2,70.29,66.2,-4.090000000000003,-19.7886,-7.3151,3,-20.988445831528153,-13.641237598874262,0,0,BJP,BJP,False,Lost,Lost
KE-AC0097,1,2,76.1,67.8,-8.299999999999997,19.1803,12.4609,8,4.263889896462193,12.448919467487407,1,1,LDF,LDF,False,Retained,Retained
WE-AC0313,4,1,72.8,72.82,0.019999999999996,17.5345,20.2361,4,17.517045421138278,25.000236349105027,1,1,BJP,BJP,False,Retained,Retained
KE-AC0975,1,1,83.5,86.71,3.2099999999999937,22.8131,29.6087,7,27.578537879076322,34.47474814088596,1,1,INC,INC,False,Retained,Retained
TA-AC0300,3,0,67.47,68.93,1.460000000000008,23.2427,-2.7302,6,24.254293050362808,34.305647676278355,1,1,DMK,DMK,False,Retained,Retained
AS-AC0278,0,2,89.66,88.52,-1.1400000000000006,10.0896,17.1885,4,7.986113974872912,17.265720734926774,1,1,BJP,BJP,False,Retained,Retained
AS-AC0925,0,0,79.33,77.4,-1.9299999999999928,24.5434,19.0613,4,21.07780011184038,31.00372349259662,1,1,BJP,BJP,False,Retained,Retained
TA-AC0602,3,2,90.3,88.95,-1.3499999999999943,31.9762,-11.7602,6,28.631344111207156,37.414849221903545,1,1,DMK,DMK,False,Retained,Retained
KE-AC0440,1,0,64.28,61.73,-2.5500000000000043,0.881,-0.5028,7,-3.895936878434646,5.744066829927153,0,1,BJP,INC,True,Lost,Retained
WE-AC0838,4,1,63.31,61.76,-1.5500000000000045,-0.5716,-6.5346,4,-3.2654889932545865,5.856177611773814,0,1,BJP,BJP,False,Lost,Retained
PU-AC0571,2,2,64.72,62.2,-2.519999999999996,-13.5823,-27.0439,4,-17.11739796529319,-10.275031966151746,0,0,DMK,BJP,True,Lost,Lost
